latitude,longitude,elevation,gravity
-26.75583,27.25751,1432.0,978691.61
-26.89549,27.27299,1327.0,978723.84
-26.94768,27.27533,1440.0,978701.76
-26.24167,27.28333,1548.06,978569.91
-26.81284,27.28551,1491.0,978695.77
-26.37833,27.28833,1477.96,978614.1
-26.62666,27.31332,1368.84,978678.98
-26.395,27.31332,1525.51,978606.9
-26.75833,27.31667,1454.0,978688.04
-26.76167,27.32167,1465.77,978684.78
-26.41833,27.32333,1541.66,978607.0
-26.88467,27.33133,1350.0,978716.64
-26.99667,27.33467,1423.0,978679.76
-26.45667,27.34167,1628.53,978595.51
-26.94633,27.34167,1419.0,978686.31
-26.35167,27.34833,1501.13,978602.5
-26.81799,27.35417,1429.0,978693.97
-26.77116,27.36867,1468.0,978696.87
-26.98833,27.37334,1403.59,978688.48
-26.89999,27.37833,1382.56,978681.18
-26.38,27.37833,1557.82,978599.21
-26.99733,27.38417,1410.0,978687.06
-26.32167,27.38667,1479.79,978599.7
-26.88718,27.39633,1366.0,978701.32
-26.28667,27.39667,1508.44,978577.51
-26.71249,27.39999,1445.0,978679.47
-26.9435,27.40334,1370.0,978693.76
-26.95332,27.40334,1381.95,978692.28
-26.19833,27.405,1553.55,978565.81
-26.60834,27.405,1409.99,978666.69
-26.94333,27.41167,1368.54,978693.78
-26.81734,27.41667,1459.0,978695.48
-26.36833,27.42332,1565.74,978592.91
-26.23,27.42332,1557.51,978562.32
-26.77467,27.42416,1529.0,978685.84
-26.39166,27.435,1614.21,978587.21
-26.91833,27.435,1381.65,978687.38
-26.99718,27.43533,1399.0,978696.89
-26.17168,27.44,1525.51,978571.71
-26.035,27.44167,1548.67,978573.61
-26.13167,27.44501,1548.67,978568.41
-26.11667,27.44501,1558.43,978568.11
-26.15833,27.44667,1584.95,978551.62
-26.87801,27.44749,1399.0,978682.23
-26.32333,27.455,1505.09,978599.4
-26.94366,27.45583,1417.0,978686.12
-26.43333,27.45667,1623.65,978595.31
-26.7195,27.45667,1538.0,978665.29
-26.215,27.45833,1538.92,978566.01
-26.41499,27.46001,1702.9,978573.91
-26.44167,27.46167,1578.85,978606.8
-26.89999,27.46167,1382.56,978680.98
-26.20833,27.46832,1569.4,978557.92
-26.82832,27.4725,1540.0,978666.85
-26.77917,27.48033,1442.0,978681.15
-26.99451,27.48466,1438.0,978690.58
-26.21667,27.485,1544.71,978561.32
-26.36,27.48833,1553.25,978586.11
-26.29832,27.49333,1508.14,978583.71
-26.83383,27.49367,1428.0,978685.19
-26.31,27.50166,1520.63,978584.11
-26.27167,27.50166,1544.1,978571.31
-26.23666,27.50166,1594.7,978557.32
-26.75166,27.50333,1537.0,978658.26
-26.94318,27.50616,1459.0,978672.01
-26.625,27.50833,1483.14,978653.09
-26.88,27.51334,1427.97,978666.09
-26.31833,27.52333,1525.81,978583.41
-26.72301,27.5235,1460.0,978675.06
-26.42667,27.52667,1580.07,978598.91
-26.16,27.53,1557.21,978554.72
-26.7715,27.53467,1473.0,978665.93
-26.99333,27.535,1475.0,978673.97
-26.48167,27.53833,1474.91,978627.4
-26.37,27.54668,1569.71,978588.11
-26.39,27.55,1581.29,978587.31
-26.35001,27.55167,1559.04,978587.61
-26.62334,27.55167,1489.54,978650.09
-26.49333,27.55167,1502.04,978626.6
-26.40668,27.55333,1602.32,978588.51
-26.19167,27.55667,1634.02,978545.02
-26.94167,27.55766,1446.0,978665.46
-26.873,27.56133,1476.0,978670.47
-26.87334,27.56332,1477.66,978660.29
-26.27834,27.565,1627.62,978562.41
-26.8255,27.56633,1444.0,978674.29
-26.72083,27.58051,1441.0,978672.07
-26.48666,27.58167,1532.52,978619.0
-26.73833,27.58501,1434.99,978679.58
-26.77451,27.58633,1412.0,978681.35
-26.01833,27.58667,1509.36,978585.21
-26.13333,27.59167,1595.31,978550.42
-26.26666,27.59332,1591.65,978567.51
-26.98849,27.5965,1475.0,978660.62
-26.86501,27.60001,1491.37,978667.48
-26.23833,27.60667,1675.47,978548.72
-26.47166,27.61667,1527.34,978618.4
-26.45833,27.63,1548.98,978612.4
-26.44501,27.63167,1582.51,978603.5
-26.42332,27.63167,1605.67,978596.41
-26.21832,27.63167,1706.56,978541.62
-26.84167,27.63499,1431.02,978673.08
-26.71533,27.63699,1462.0,978665.44
-26.40668,27.63834,1647.73,978585.21
-26.05833,27.64166,1582.51,978568.11
-26.08167,27.64333,1578.24,978567.11
-26.82217,27.64867,1469.0,978670.99
-26.38834,27.65167,1669.68,978577.11
-26.205,27.66333,1681.57,978547.32
-26.80333,27.66499,1456.93,978674.28
-26.34167,27.67332,1626.09,978575.31
-26.32832,27.675,1609.33,978577.21
-26.31168,27.67667,1596.53,978577.51
-26.23167,27.67833,1652.0,978557.22
-26.285,27.67999,1565.44,978580.21
-26.763,27.68083,1428.0,978675.46
-26.25667,27.68167,1590.43,978571.21
-26.77,27.68167,1436.2,978674.18
-26.75833,27.68167,1425.54,978676.28
-26.36501,27.68167,1689.19,978566.31
-26.17999,27.69833,1705.95,978541.82
-26.22667,27.69833,1669.68,978551.32
-26.21001,27.7,1723.93,978540.62
-26.735,27.70667,1428.89,978668.69
-26.15668,27.71832,1726.37,978535.62
-26.03999,27.72166,1469.73,978586.41
-26.62833,27.72667,1462.72,978653.99
-26.14166,27.73666,1717.53,978537.62
-26.72667,27.74667,1452.36,978660.29
-26.03333,27.75166,1578.54,978561.41
-26.11667,27.75833,1753.19,978530.42
-26.11,27.76666,1743.74,978534.02
-26.07832,27.795,1694.98,978541.22
-26.11667,27.80167,1761.73,978529.12
-26.48334,27.82333,1554.77,978631.09
-26.12666,27.83,1748.32,978532.12
-26.06,27.83333,1488.02,978573.81
-26.70667,27.85167,1525.81,978645.09
-26.405,27.86667,1603.54,978606.3
-26.27667,27.86833,1615.43,978584.11
-26.02167,27.87,1498.99,978559.32
-26.16333,27.87167,1733.08,978539.72
-26.235,27.87666,1640.11,978575.81
-26.69167,27.89833,1439.25,978664.69
-26.185,27.90167,1691.93,978551.42
-26.34,27.90167,1554.77,978612.8
-26.10834,27.92332,1661.14,978528.53
-26.68668,27.92667,1438.03,978665.99
-26.07832,27.92833,1628.53,978532.02
-26.655,27.94501,1438.34,978663.49
-26.33667,27.94501,1540.75,978613.9
-26.20168,27.94501,1665.72,978557.62
-26.62833,27.965,1445.96,978660.69
-26.59666,27.98334,1456.02,978656.79
-26.33167,27.985,1528.56,978613.1
-26.21001,27.99001,1702.6,978552.42
-26.55,28.015,1475.83,978649.59
-26.93333,28.02333,1481.31,978654.89
-26.19167,28.03,1755.33,978535.32
-26.83333,28.03168,1494.73,978657.59
-26.34,28.03168,1515.15,978615.4
-26.52333,28.04167,1490.76,978645.09
-26.2,28.05333,1723.93,978542.62
-26.63834,28.05667,1503.26,978646.49
-26.48666,28.06332,1489.54,978641.69
-26.21832,28.06332,1694.06,978552.72
-26.17332,28.065,1764.78,978525.43
-26.38,28.06667,1501.13,978623.4
-26.45168,28.07167,1481.01,978637.99
-26.41667,28.07832,1492.9,978630.6
-26.985,28.08,1487.41,978659.29
-26.14999,28.08501,1655.35,978538.32
-26.14166,28.08501,1675.77,978536.42
-26.07668,28.08667,1563.0,978550.32
-26.87334,28.08667,1495.03,978652.59
-26.09332,28.08833,1597.14,978542.52
-26.38333,28.09332,1513.32,978620.1
-26.235,28.095,1655.66,978563.91
-26.045,28.10001,1502.04,978563.91
-26.02,28.11501,1503.56,978564.71
-26.25833,28.11833,1569.4,978580.31
-26.35834,28.12167,1556.9,978603.7
-26.98833,28.13,1496.55,978656.09
-26.85834,28.13499,1502.35,978653.29
-26.28833,28.13834,1542.88,978593.31
-26.32832,28.13834,1561.48,978596.51
-26.78833,28.14333,1513.01,978651.59
-26.29832,28.15167,1560.56,978590.21
-26.24167,28.16499,1670.9,978557.82
-26.29167,28.17,1532.22,978595.21
-26.59332,28.17168,1565.44,978623.4
-26.71167,28.17999,1503.56,978647.59
-26.30833,28.2,1560.26,978589.51
-26.16667,28.205,1704.73,978546.92
-26.97501,28.21667,1501.13,978643.29
-26.325,28.22333,1575.8,978588.51
-26.14999,28.23,1706.86,978535.92
-26.34666,28.23833,1563.91,978593.71
-26.37334,28.245,1527.34,978601.7
-26.66667,28.24667,1516.06,978638.29
-26.395,28.265,1566.96,978593.41
-26.02667,28.27667,1594.09,978553.62
-26.0038,28.28146,1548.87,978565.56
-26.54333,28.28333,1586.77,978601.8
-26.41499,28.28667,1564.52,978593.91
-26.63167,28.3,1485.28,978640.19
-26.37833,28.31168,1581.9,978584.01
-26.435,28.31168,1605.37,978585.21
-26.02168,28.32632,1574.09,978560.32
-26.465,28.33667,1631.27,978578.11
-26.48167,28.355,1566.96,978590.71
-26.49834,28.35834,1536.79,978600.5
-26.50999,28.36166,1532.22,978602.8
-26.02094,28.36276,1618.79,978551.39
-26.53333,28.36333,1555.38,978602.0
-26.10834,28.36833,1642.25,978549.42
-26.08167,28.38,1640.42,978552.22
-26.61,28.38167,1552.33,978621.7
-26.55833,28.38667,1583.73,978600.2
-26.13499,28.38834,1634.93,978549.52
-26.66499,28.39,1583.12,978624.6
-26.2,28.39333,1593.17,978566.31
-26.03999,28.395,1630.06,978550.42
-26.17332,28.39667,1609.63,978563.62
-26.23666,28.40334,1619.69,978560.92
-26.56667,28.40833,1616.95,978594.71
-26.56833,28.41333,1633.41,978590.51
-26.73833,28.42667,1556.6,978632.6
-26.37666,28.43668,1598.66,978568.71
-26.245,28.43832,1620.61,978561.12
-26.59332,28.44167,1652.61,978591.21
-26.42,28.45667,1557.51,978580.21
-26.03,28.46832,1628.84,978565.41
-26.595,28.47166,1584.03,978605.7
-26.83501,28.47501,1560.56,978611.0
-26.265,28.505,1572.45,978570.81
-26.61333,28.505,1568.49,978613.3
-26.88333,28.51666,1539.23,978621.3
-26.265,28.52834,1576.72,978569.71
-26.63667,28.535,1603.23,978612.2
-26.04832,28.53667,1623.35,978572.01
-26.90167,28.53833,1570.62,978625.2
-26.64667,28.54668,1618.78,978610.2
-26.65167,28.56332,1595.61,978614.3
-26.27834,28.565,1602.62,978562.91
-26.075,28.58167,1565.74,978586.21
-26.65668,28.58833,1612.38,978610.6
-26.99333,28.59332,1529.78,978642.49
-26.66,28.59332,1603.84,978612.3
-26.62334,28.59666,1634.32,978591.31
-26.295,28.60333,1620.0,978556.12
-26.095,28.61833,1582.81,978583.31
-26.58501,28.61833,1629.75,978569.11
-26.67168,28.63834,1683.7,978598.21
-26.12334,28.64333,1597.75,978578.71
-26.54333,28.64667,1642.55,978558.62
-26.32167,28.65167,1643.47,978545.62
-26.52167,28.66499,1601.4,978563.82
-26.68832,28.67,1638.89,978610.8
-26.15167,28.685,1559.04,978586.61
-26.495,28.69501,1635.54,978554.12
-26.70667,28.7,1618.78,978622.0
-26.345,28.70833,1639.5,978547.22
-26.27834,28.72166,1622.74,978563.51
-26.25,28.72667,1606.28,978566.61
-26.72667,28.72667,1598.05,978629.7
-26.16333,28.72667,1573.97,978580.81
-26.22667,28.73,1611.46,978566.21
-26.21001,28.73167,1588.6,978569.21
-26.45833,28.73334,1645.6,978550.42
-26.515,28.73334,1617.25,978563.21
-26.73666,28.73833,1591.04,978631.09
-26.12,28.74167,1533.13,978595.61
-26.30667,28.75,1640.42,978566.51
-26.425,28.755,1670.59,978547.12
-26.02333,28.755,1557.82,978611.3
-26.74667,28.75667,1586.47,978632.5
-26.325,28.75833,1676.38,978551.72
-26.52667,28.75999,1656.88,978559.42
-26.09332,28.75999,1571.84,978596.6
-26.23,28.76833,1579.76,978569.51
-26.76167,28.77333,1574.89,978636.49
-26.34666,28.77499,1662.97,978555.22
-26.38834,28.77834,1676.69,978547.82
-26.18333,28.78168,1573.36,978577.71
-26.37666,28.78168,1662.06,978552.62
-26.77,28.78333,1580.07,978638.39
-26.075,28.785,1564.52,978606.0
-26.355,28.78833,1661.75,978554.62
-26.02834,28.79167,1526.73,978633.3
-26.54167,28.79167,1641.64,978581.31
-26.13167,28.79333,1573.97,978586.11
-26.015,28.795,1513.93,978638.49
-26.05833,28.80667,1549.89,978618.7
-26.22833,28.81168,1586.16,978570.21
-26.375,28.81332,1674.56,978554.62
-26.33167,28.81667,1604.15,978565.41
-26.77834,28.82001,1581.59,978637.99
-26.785,28.82333,1592.26,978635.59
-26.17168,28.84167,1594.09,978577.41
-26.29167,28.84167,1573.67,978584.71
-26.53667,28.84167,1671.2,978586.71
-26.81,28.845,1547.15,978646.79
-26.25999,28.85167,1545.93,978586.11
-26.38333,28.85333,1684.61,978573.41
-26.22501,28.85667,1543.8,978590.31
-26.82668,28.86,1534.65,978653.19
-26.85001,28.89166,1525.51,978656.79
-26.82167,28.89667,1563.0,978638.79
-26.37833,28.89667,1671.2,978593.11
-26.23666,28.90668,1550.81,978607.1
-26.30499,28.91667,1599.88,978609.4
-26.36501,28.93167,1670.29,978599.6
-26.85667,28.93333,1561.17,978650.19
-26.79167,28.935,1571.23,978625.7
-26.51833,28.93832,1609.33,978608.2
-26.86,28.95168,1550.5,978651.09
-26.52499,28.955,1609.33,978610.6
-26.49333,28.96167,1603.23,978610.5
-26.42999,28.96167,1632.19,978610.1
-26.75667,28.96333,1541.97,978615.6
-26.86166,28.96667,1552.33,978647.09
-26.36,28.97,1691.01,978603.9
-26.72833,28.97667,1544.71,978612.1
-26.69,28.97833,1563.91,978605.4
-26.265,28.985,1631.27,978619.5
-26.87,28.99167,1579.76,978640.39
-26.87833,29.005,1582.81,978637.99
